OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
Hydrogenobacter thermophilus strain TK-6-01,0,0,0
Methanoculleus marisnigri strain JR1-08,0,0,0
Salmonella paratyphi C strain RKS4594-01,0,0,0
Enterococcus faecalis str. V583-01,0,0,0
Staphylococcus epidermis RP62A-08,0,0,0
Shigella boydii strain Sb227-08,0,0,0
Hydrogenobaculum sp. Y04AAS1-30,0,0,0
Petrotoga mobilis strain SJ95-01,0,0,0
Streptomyces avermitilis str. MA-4680-01,0,0,0
Acholeplasma laidlawii strain PG-8A-01,0,0,0
Mycobacterium marinum strain M-01,0,0,0
Mycobacterium leprae strain TN-01,0,0,0
Mycoplasma pulmonis strain UAB CTIP-01,0,0,0
Ehrlichia canis strain Jake-08,0,0,0
Pseudobacterium sepedonicum-01,0,0,0
Salmonella enterica subsp. enterica serovar Schwarzengrund strain CVM19633-30,0,0,0
Salmonella enterica subsp. enterica serovar Dublin strain CT_02021853-08,0,0,0
Dehalococcoides sp. VS-01,0,0,0
Mycobacterium tuberculosis strain H37Rv-08,0,0,0
Streptomyces coelicolor A3(2)-01,0,0,0
methanogenic archaeon 6A8-01,0,0,0
Clostridium beijerinckii strain NCIMB 8052-01,0,0,0
Clostridium perfringens str. 13-01,0,0,0
Listeria monocytogenes strain HCC23-01,0,0,0
Helicobacter acinonychis strain Sheeba-01,0,0,0
Shigella dysenteriae strain Sd197-01,0,0,0
Escherichia coli strain E24377A-01,0,0,0
Pseudomonas resinovorans Delaporte et al. 1961-01,0,0,0
Lactobacillus plantarum strain WCFS1-08,0,0,0
Staphylococcus epidermis RP62A-01,0,0,0
Salmonella enterica subsp. enterica serovar Paratyphi B strain SPB7-01,0,0,0
Campylobacter jejuni strain RM1221-01,0,0,0
Hyperthermus butylicus strain DSM 5456-01,0,0,0
Dehalococcoides sp. GT-01,0,0,0
Clostridium botulinum A strain ATCC 19397-01,0,0,0
Bacillus cereus strain B4264-08,0,0,0
Clostridium perfringens strain ATCC 13124-01,0,0,0
Proteinoruptor kamchatkensis 1221n-01,0,0,0
Staphylococcus aureus strain RF122-08,0,0,0
Listeria monocytogenes strain EGD-e-08,0,0,0
Mycobacterium avium subsp. paratuberculosis strain K-10-01,0,0,0
Saccharopolyspora erythraea strain NRRL 2338-01,0,0,0
Methanosphaerula palustris strain E1-9c-30,0,0,0
Escherichia coli strain SMS-3-5-01,0,0,0
Mycobacterium avium str. 104-01,0,0,0
Clostridium perfringens strain SM101-01,0,0,0
Thermoplasma volcanium strain GSS1-08,0,0,0
Methanococcus jannaschii DSM 2661-01,0,0,0
Desulfitobacterium hafniense DSM 10664-01,0,0,0
Listeria welshimeri serovar 6b strain SLCC5334-01,0,0,0
Clavibacter michiganensis subsp. michiganensis strain NCPPB 382-01,0,0,0
Gardnerella vaginalis strain 409-05-08,0,0,0
Campylobacter jejuni subsp. jejuni strain 81-176-01,0,0,0
Escherichia coli strain SE11-01,0,0,0
Salinispora arenicola strain CNS-205-01,0,0,0
Salmonella enterica subsp. enterica serovar Newport strain SL254-01,0,0,0
Staphylococcus aureus subsp. aureus strain ED98-08,0,0,0
Methanocaldococcus vulcanius strain M7-08,0,0,0
Rothia mucilaginosa strain DY-18-01,0,0,0
Brachybacterium faecium strain DSM 4810-01,0,0,0
Bifidobacterium animalis subsp. lactis strain Bl-04-01,0,0,0
Streptococcus mitis strain B6-01,0,0,0
Sorangium cellulosum strain 'So ce 56'-01,0,0,0
Mycobacterium vanbaalenii strain PYR-1-01,0,0,0
Escherichia coli strain APEC O1-08,0,0,0
Coxiella burnetii strain RSA 331-30,0,0,0
Streptococcus pyogenes str. SSI-1-08,0,0,0
Methanospirillum hungatei strain JF-1-01,0,0,0
Arthrobacter sp. FB24-01,0,0,0
Thermotoga maritima strain MSB8-01,0,0,0
Clostridium botulinum F strain Langeland-08,0,0,0
Bacillus weihenstephanensis strain KBAB4-08,0,0,0
Mycobacterium ulcerans strain Agy99-01,0,0,0
Bacillus cereus strain 03BB102-01,0,0,0
Halobacterium salinarum strain R1-08,0,0,0
Actinosynnema mirum strain DSM 43827-01,0,0,0
Methanobrevibacter smithii strain ATCC 35061-01,0,0,0
Yersinia pestis strain KIM 10-08,0,0,0
Bacillus weihenstephanensis strain KBAB4-01,0,0,0
Lactobacillus johnsonii NCC 533-01,0,0,0
Methanococcus maripaludis strain C5-30,0,0,0
Corynebacterium glutamicum strain R-01,0,0,0
Bacillus anthracis strain CDC 684-01,0,0,0
Yersinia pestis strain Antiqua-01,0,0,0
Methanocorpusculum labreanum strain Z-01,0,0,0
Escherichia coli O26:H11 strain 11368-01,0,0,0
Klebsiella pneumoniae subsp. pneumoniae strain MGH 78578-01,0,0,0
Staphylococcus epidermidis ATCC 12228-01,0,0,0
Archaeoglobus profundus strain DSM 5631-01,0,0,0
Clostridium botulinum Ba4 strain 657-08,0,0,0
Bacillus pumilus strain SAFR-032-01,0,0,0
Lactococcus lactis subsp. lactis strain KF147-01,0,0,0
Bacillus megaterium strain QM B1551-01,0,0,0
Aminobacterium colombiense strain DSM 12261-01,0,0,0
uncultured methanogenic archaeon Rice Cluster I-01,0,0,0
Thermoanaerobacter tengcongensis strain MB4-30,0,0,0
Desulfovibrio vulgaris subsp. vulgaris DP4-01,0,0,0
Veillonella parvula strain DSM 2008-08,0,0,0
Bacillus cereus strain E33L-30,0,0,0
Haloterrigena turkmenica strain DSM 5511-30,0,0,0
Streptococcus suis strain 98HAH33-01,0,0,0
Archaeoglobus profundus strain DSM 5631-08,0,0,0
Neorickettsia risticii strain Illinois-08,0,0,0
Anaplasma marginale strain Florida-01,0,0,0
Escherichia coli O157:H7 strain TW14359-01,0,0,0
Eggerthella lenta strain DSM 2243-01,0,0,0
Clostridium tetani str. E88-01,0,0,0
Geobacillus sp. Y412MC10-01,0,0,0
Desulfitobacterium sp. Y51-01,0,0,0
Chlamydophila caviae str. GPIC-01,0,0,0
Mycoplasma mobile strain 163K-01,0,0,0
Thermococcus onnurineus strain NA1-08,0,0,0
Bacillus weihenstephanensis strain KBAB4-30,0,0,0
Clostridium botulinum A3 strain Loch Maree-01,0,0,0
Clostridiales genomosp. BVAB3 str. UPII9-5-01,0,0,0
Aminobacterium colombiense strain DSM 12261-08,0,0,0
Staphylococcus lugdunensis strain HKU09-01-01,0,0,0
Mycobacterium tuberculosis strain H37Rv-30,0,0,0
Methanosarcina barkeri strain Fusaro-01,0,0,0
Chloroflexus aurantiacus strain J-10-fl-01,0,0,0
Sanguibacter keddieii strain DSM 10542-30,0,0,0
Mycoplasma arthritidis strain 158L3-1-01,0,0,0
Escherichia coli strain 536-30,0,0,0
Halorhabdus utahensis strain DSM 12940-01,0,0,0
Mycobacterium sp. KMS-01,0,0,0
Methanobrevibacter ruminantium strain M1-01,0,0,0
Escherichia coli strain IAI1-01,0,0,0
Enterococcus faecalis str. V583-30,0,0,0
Campylobacter concisus strain 13826-30,0,0,0
Staphylococcus carnosus subsp. carnosusstrain TM300-08,0,0,0
Phytoplasma solani australensis-08,0,0,0
not Oenococcus oeni MCW-01,0,0,0
Bacillus subtilis subsp. subtilis str. BGSC 1A700-01,0,0,0
Staphylococcus saprophyticus subsp. saprophyticus strain ATCC 15305-01,0,0,0
Dictyoglomus thermophilum H-6-12-08,0,0,0
Bifidobacterium adolescentis strain ATCC 15703-08,0,0,0
Escherichia coli 55989-01,0,0,0
Pyrococcus furiosus strain DSM 3638-01,0,0,0
Methanothermobacter thermautotrophicus str. deltaH-30,0,0,0
Halorubrum lacusprofundi strain ATCC 49239-01,0,0,0
Corynebacterium glutamicum ATCC 13032-08,0,0,0
Chlamydophila abortus str. S26/3-01,0,0,0
Blattabacterium sp. (Periplaneta americana) strain BPLAN-30,0,0,0
Listeria monocytogenes strain 4b F2365-01,0,0,0
Slackia heliotrinireducens strain DSM 20476-01,0,0,0
Escherichia coli strain APEC O1-01,0,0,0
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150-30,0,0,0
Leuconostoc mesenteroides subsp. mesenteroides strain ATCC 8293-01,0,0,0
Helicobacter pylori strain B38-01,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus strain ATCC BAA-365-08,0,0,0
Methanosarcina acetivorans str. C2A-01,0,0,0
Clostridium botulinum Ba4 strain 657-01,0,0,0
Listeria monocytogenes strain 08-5578-30,0,0,0
Rickettsia peacockii strain Rustic-08,0,0,0
Geobacillus thermodenitrificans strain NG80-2-30,0,0,0
Methanococcus maripaludis strain C5-01,0,0,0
Lactobacillus sakei subsp. sakei strain 23K-01,0,0,0
Streptococcus pneumoniae strain Taiwan19F-14-01,0,0,0
Halobacterium sp. NRC-1-08,0,0,0
Helicobacter pylori strain Shi470-01,0,0,0
Corynebacterium urealyticum strain DSM 7109-08,0,0,0
Bacillus cereus strain AH187-01,0,0,0
Methanococcus vannielii strain SB-01,0,0,0
Borrelia burgdorferi strain ZS7-01,0,0,0
Thermotoga neapolitana NS-E-01,0,0,0
Burkholderia mallei str. ATCC 23344-01,0,0,0
Bacillus cereus strain G9842-30,0,0,0
Pediococcus pentosaceus strain ATCC 25745-01,0,0,0
Staphylococcus aureus subsp. aureus str. MW2-01,0,0,0
Chlamydia trachomatis strain B/Jali20/OT-01,0,0,0
Halorubrum lacusprofundi strain ATCC 49239-08,0,0,0
Enterococcus faecalis str. V583-08,0,0,0
Hyperthermus butylicus strain DSM 5456-08,0,0,0
Lactobacillus fermentum strain IFO 3956-01,0,0,0
Pleuropneumonia agalactiae-01,0,0,0
Phytoplasma solani australensis-01,0,0,0
Methanopyrus kandleri str. AV19-08,0,0,0
Halorhabdus utahensis strain DSM 12940-08,0,0,0
Bacillus thuringiensis strain Al Hakam-01,0,0,0
Lactococcus lactis subsp. lactis strain Il1403-01,0,0,0
Yersinia pestis strain Nepal516-01,0,0,0
Staphylococcus aureus subsp. aureus COL-01,0,0,0
Clostridium kluyveri strain DSM 555-01,0,0,0
Mycoplasma mycoides subsp. mycoides SC strain PG1-01,0,0,0
Shigella boydii strain CDC 3083-94-01,0,0,0
Bacillus cereus strain AH820-01,0,0,0
Methanocaldococcus vulcanius strain M7-01,0,0,0
Lactobacillus brevis strain ATCC 367-01,0,0,0
Methanococcus maripaludis strain C7-01,0,0,0
Escherichia coli str. B substr. REL606-01,0,0,0
Borrelia afzelii strain PKo-01,0,0,0
Borrelia recurrentis strain A1-01,0,0,0
Bacillus cereus strain B4264-01,0,0,0
Sulfolobus islandicus strain M.16.27-08,0,0,0
Listeria monocytogenes strain EGD-e-01,0,0,0
Sulfolobus islandicus strain Y.G.57.14-08,0,0,0
Streptococcus agalactiae str. 2603V/R-01,0,0,0
Salmonella typhimurium LT2-01,0,0,0
Corynebacterium jeikeium strain K411-01,0,0,0
Sulfolobus islandicus strain L.D.8.5-08,0,0,0
Methanopyrus kandleri str. AV19-01,0,0,0
Mycobacterium tuberculosis CSU#93-01,0,0,0
bacterium CBDB1-01,0,0,0
Bifidobacterium longum subsp. infantis strain ATCC 15697-01,0,0,0
Micrococcus luteus ATCC 9341-30,0,0,0
Proteinoruptor kamchatkensis 1221n-30,0,0,0
Thermotoga sp. RQ2-01,0,0,0
Shigella boydii strain Sb227-01,0,0,0
Mycobacterium bovis subsp. bovis str. AF2122/97-08,0,0,0
Methanobrevibacter smithii strain ATCC 35061-08,0,0,0
Bacillus cereus strain G9842-01,0,0,0
Escherichia coli strain BL21(DE3)-01,0,0,0
Lactobacillus acidophilus strain NCFM-01,0,0,0
Shigella flexneri 5 strain 8401-08,0,0,0
Streptococcus pyogenes str. MGAS315-01,0,0,0
Bacillus cereus ATCC 14579-01,0,0,0
Lactococcus lactis subsp. cremoris strain SK11-01,0,0,0
Dehalococcoides sp. VS-08,0,0,0
Haloarcula marismortui strain ATCC 43049-30,0,0,0
Bifidobacterium longum str. NCC2705-01,0,0,0
Escherichia coli O157:H7 EDL933-01,0,0,0
Streptococcus agalactiae str. NEM316-01,0,0,0
Escherichia coli strain S88-01,0,0,0
Staphylococcus haemolyticus strain JCSC1435-01,0,0,0
Listeria innocua strain Clip11262-01,0,0,0
Thermococcus gammatolerans strain EJ3-08,0,0,0
Yersinia pestis strain Z176003-01,0,0,0
Chlamydia trachomatis strain B/TZ1A828/OT-01,0,0,0
Borrelia sp. PBi-01,0,0,0
korarchaeote OPF1-KOR-01,0,0,0
Brucella melitensis str. ATCC 23456-01,0,0,0
Clostridium botulinum A2 strain Kyoto-01,0,0,0
Escherichia coli strain ATCC 8739-01,0,0,0
Streptococcus mutans strain NN2025-01,0,0,0
Treponema pallidum subsp. pallidum str. Nichols-01,0,0,0
Shigella flexneri 5 strain 8401-30,0,0,0
Streptococcus pneumoniae strain P1031-01,0,0,0
Clostridium botulinum F strain Langeland-01,0,0,0
Escherichia coli strain E24377A-08,0,0,0
Escherichia coli IAI39-01,0,0,0
Thermoplasma acidophilum strain DSM 1728-01,0,0,0
Bacillus cereus strain 03BB102-08,0,0,0
Staphylococcus aureus subsp. aureus USA300_FPR3757-01,0,0,0
Bacillus anthracis strain CDC 684-08,0,0,0
DSM 13-01,0,0,0
Streptococcus pneumoniae strain 70585-01,0,0,0
Streptococcus pneumoniae strain CGSP14-01,0,0,0
Bacillus cereus strain Q1-01,0,0,0
Clostridium botulinum A strain Hall-01,0,0,0
Yersinia pestis bv. Microtus str. 91001-30,0,0,0
Salmonella enterica subsp. enterica serovar Choleraesuis strain SC-B67-01,0,0,0
Staphylococcus aureus subsp. aureus strain ED98-01,0,0,0
Leptotrichia buccalis strain C-1013-b-08,0,0,0
Methanosphaera stadtmanae strain DSM 3091-30,0,0,0
Mycobacterium bovis subsp. bovis str. AF2122/97-30,0,0,0
Bifidobacterium animalis subsp. lactis strain DSM 10140-01,0,0,0
Bacillus cereus strain E33L-01,0,0,0
Escherichia coli strain 536-01,0,0,0
Thermotogales bacterium TBF 19.5.1-08,0,0,0
Bacillus cereus strain Q1-08,0,0,0
Methanobrevibacter smithii strain ATCC 35061-30,0,0,0
DSM 13-08,0,0,0
Aeropyrum pernix strain K1-01,0,0,0
Saccharopolyspora erythraea strain NRRL 2338-30,0,0,0
Mycobacterium bovis BCG strain Tokyo 172-01,0,0,0
Lactobacillus plantarum strain WCFS1-30,0,0,0
Escherichia coli O127:H6 strain E2348/69-01,0,0,0
Pyrococcus sp. OT3-01,0,0,0
Bacillus cereus strain ATCC 10987-08,0,0,0
Staphylococcus aureus subsp. aureus strain MRSA252-01,0,0,0
Leuconostoc citreum strain KM20-01,0,0,0
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150-08,0,0,0
Bacillus anthracis strain 'Ames Ancestor'-08,0,0,0
Halomicrobium mukohataei strain DSM 12286-01,0,0,0
Thermococcus kodakarensis strain KOD1-01,0,0,0
Listeria welshimeri serovar 6b strain SLCC5334-08,0,0,0
Clostridium botulinum A strain ATCC 3502-01,0,0,0
Streptococcus pneumoniae strain ATCC 700669-01,0,0,0
Bifidobacterium dentium strain Bd1-01,0,0,0
Escherichia coli strain UTI89-01,0,0,0
Archaeoglobus fulgidus strain VC-16-01,0,0,0
Thermococcus gammatolerans strain EJ3-01,0,0,0
Lactobacillus plantarum strain JDM1-01,0,0,0
Streptococcus gallolyticus strain UCN34-01,0,0,0
Fusobacterium nucleatum subsp. nucleatum str. ATCC 25586-30,0,0,0
Methanococcus maripaludis strain C6-01,0,0,0
Corynebacterium glutamicum ATCC 13032-01,0,0,0
Mycobacterium tuberculosis strain F11-01,0,0,0
Lactobacillus brevis strain ATCC 367-08,0,0,0
Shigella sonnei strain Ss046-08,0,0,0
Streptococcus pyogenes MGAS8232-01,0,0,0
Shigella flexneri 5 strain 8401-01,0,0,0
Bacillus anthracis strain Ames-01,0,0,0
Escherichia coli strain MG1655-01,0,0,0
Borrelia duttonii strain Ly-01,0,0,0
Halobacterium sp. NRC-1-01,0,0,0
Staphylococcus aureus subsp. aureus strain Mu3-01,0,0,0
Mycobacterium leprae strain TN-08,0,0,0
Pyrococcus abyssi strain GE5-01,0,0,0
Mycobacterium tuberculosis strain H37Ra-08,0,0,0
Corynebacterium urealyticum strain DSM 7109-01,0,0,0
Lactobacillus casei strain BL23-01,0,0,0
Acidaminococcus fermentans strain DSM 20731-30,0,0,0
Methanocaldococcus sp. FS406-22-01,0,0,0
Streptococcus pneumoniae str. R6-01,0,0,0
Methanoculleus marisnigri strain JR1-01,0,0,0
Listeria monocytogenes strain 08-5578-01,0,0,0
Mycobacterium bovis subsp. bovis str. AF2122/97-01,0,0,0
Lactobacillus helveticus strain DPC 4571-01,0,0,0
Bacillus thuringiensis serovar konkukian strain 97-27-01,0,0,0
Natronomonas pharaonis strain DSM 2160-01,0,0,0
Mycobacterium tuberculosis strain H37Rv-01,0,0,0
Mycobacterium tuberculosis strain H37Ra-01,0,0,0
Escherichia coli strain UTI89-08,0,0,0
Natrialba magadii strain ATCC 43099-01,0,0,0
Caldivirga maquilingensis strain IC-167-01,0,0,0
Haloterrigena turkmenica strain DSM 5511-08,0,0,0
Clostridium kluyveri strain NBRC 12016-01,0,0,0
Thermoplasma volcanium strain GSS1-01,0,0,0
Bacillus anthracis str. Sterne-01,0,0,0
Rickettsia rickettsii strain 'Sheila Smith'-30,0,0,0
Mycoplasma penetrans strain HF-2-01,0,0,0
Streptococcus pneumoniae strain Hungary19A-6-08,0,0,0
Lactobacillus reuteri strain DSM 20016-01,0,0,0
Thermococcus sibiricus strain MM 739-01,0,0,0
Ehrlichia ruminantium strain Gardel-08,0,0,0
Aster yellows witches'-broom phytoplasma str. AYWB-01,0,0,0
Haloferax volcanii strain DS2-30,0,0,0
Renibacterium salmoninarum strain ATCC 33209-30,0,0,0
Halobacterium salinarum strain R1-01,0,0,0
Veillonella parvula strain DSM 2008-30,0,0,0
Mycobacterium leprae strain Br4923-01,0,0,0
Helicobacter pylori strain 26695-01,0,0,0
Streptococcus dysgalactiae subsp. equisimilis strain GGS_124-01,0,0,0
Streptococcus pneumoniae strain Hungary19A-6-01,0,0,0
Lactobacillus rhamnosus strain GG-01,0,0,0
Bifidobacterium longum str. NCC2705-08,0,0,0
Lactobacillus rhamnosus strain Lc 705-08,0,0,0
Methanosphaera stadtmanae strain DSM 3091-01,0,0,0
Streptococcus pyogenes strain Manfredo-01,0,0,0
Helicobacter mustelae strain 12198-08,0,0,0
Helicobacter pylori strain G27-01,0,0,0
Methanococcus maripaludis strain S2-01,0,0,0
Thermococcus onnurineus strain NA1-01,0,0,0
Shigella flexneri serotype 2a str. 301-30,0,0,0
Haloarcula marismortui strain ATCC 43049-01,0,0,0
Haloquadratum walsbyi strain DSM 16790-30,0,0,0
Mycoplasma genitalium strain G37-08,0,0,0
Thermosipho africanus strain TCF52B-30,0,0,0
Mesoplasma florum strain L1-08,0,0,0
Bacillus cereus strain ATCC 10987-01,0,0,0
Bacillus anthracis strain A0248-01,0,0,0
Streptococcus pyogenes MGAS8232-08,0,0,0
Clostridium kluyveri strain DSM 555-30,0,0,0
Sulfolobus islandicus strain L.S.2.15-01,0,0,0
Thermotoga sp. RKU-10-01,0,0,0
Bifidobacterium longum str. DJO10A-01,0,0,0
Clostridium botulinum A strain ATCC 19397-30,0,0,0
Pyrobaculum arsenaticum strain DSM 13514-01,0,0,0
Lactobacillus casei strain BL23-08,0,0,0
Lactobacillus rhamnosus strain Lc 705-01,0,0,0
Lactobacillus reuteri strain JCM 1112-30,0,0,0
Chlamydia trachomatis strain D/UW-3/CX-08,0,0,0
Sulfolobus tokodaii strain 7-01,0,0,0
Mesoplasma florum strain L1-01,0,0,0
Bacillus subtilis subsp. subtilis str. BGSC 1A700-08,0,0,0
Lactobacillus paracasei ATCC 334-01,0,0,0
Metallosphaera sedula strain DSM 5348-01,0,0,0
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150-01,0,0,0
Haloferax volcanii strain DS2-01,0,0,0
Escherichia coli strain E24377A-30,0,0,0
Streptococcus mutans str. UA159-01,0,0,0
Streptococcus pyogenes MGAS8232-30,0,0,0
Haloterrigena turkmenica strain DSM 5511-01,0,0,0
Chlamydophila pneumoniae AR39-01,0,0,0
Mycobacterium leprae strain Br4923-08,0,0,0
Lactobacillus johnsonii strain FI9785-08,0,0,0
Sulfolobus islandicus strain M.16.4-01,0,0,0
Sulfolobus islandicus strain L.D.8.5-01,0,0,0
Lactobacillus johnsonii NCC 533-08,0,0,0
Mycoplasma capricolum subsp. capricolum strain ATCC 27343-08,0,0,0
Sulfolobus solfataricus strain P2-01,0,0,0
Sulfolobus islandicus strain Y.N.15.51-01,0,0,0
Pyrococcus furiosus strain DSM 3638-08,0,0,0
Rickettsia akari strain Hartford-08,0,0,0
Chlamydophila pneumoniae J138-08,0,0,0
Bifidobacterium animalis subsp. lactis strain Bl-04-08,0,0,0
Helicobacter pylori strain P12-01,0,0,0
Listeria monocytogenes strain 08-5923-01,0,0,0
Natranaerobius thermophilus strain JW/NM-WN-LF-30,0,0,0
Mycoplasma synoviae strain 53-01,0,0,0
Borrelia sp. PBi-08,0,0,0
Borrelia burgdorferi str. B31-08,0,0,0
Borrelia burgdorferi str. B31-01,0,0,0
Listeria monocytogenes strain 4b F2365-30,0,0,0
Schizoplasma hominis-01,0,0,0
Bacillus anthracis strain Ames-08,0,0,0
Escherichia coli strain K12 substrain DH10B-01,0,0,0
Campylobacter jejuni strain RM1221-08,0,0,0
Streptococcus pneumoniae strain CGSP14-08,0,0,0
Campylobacter hominis strain ATCC BAA-381-08,0,0,0
Staphylococcus aureus subsp. aureus N315-08,0,0,0
Bacillus cereus strain B4264-30,0,0,0
Staphylococcus lugdunensis strain HKU09-01-08,0,0,0
Bacillus cereus ATCC 14579-30,0,0,0
Bacillus thuringiensis serovar konkukian strain 97-27-08,0,0,0
Chlamydia trachomatis MoPn strain Nigg-08,0,0,0
Rickettsia conorii strain Malish 7-30,0,0,0
Sulfolobus islandicus strain M.14.25-01,0,0,0
Helicobacter pylori strain HPAG1-01,0,0,0
Chlamydophila pneumoniae TW183-01,0,0,0
Cryptobacterium curtum strain DSM 15641-30,0,0,0
Candidatus Desulforudis audaxviator strain MP104C-30,0,0,0
Candidatus Blochmannia floridanus-30,0,0,0
Chlamydophila pneumoniae CWL029-30,0,0,0
Rickettsia bellii strain RML369-C-30,0,0,0
Lactobacillus plantarum strain WCFS1-01,0,0,0
Borrelia duttonii strain Ly-08,0,0,0
Borrelia burgdorferi strain ZS7-30,0,0,0
Chlamydophila pneumoniae TW183-08,0,0,0
Streptococcus pneumoniae strain 70585-08,0,0,0
uncultured Termite group 1 bacterium phylotype Rs-D17-08,0,0,0
Methanococcus maripaludis strain C6-30,0,0,0
Coxiella burnetii strain CbuG_Q212-30,0,0,0
Enterobacter cloacae subsp. cloacae strain ATCC 13047-01,0,0,0
Chlamydophila abortus str. S26/3-08,0,0,0
Aminobacterium colombiense strain DSM 12261-30,0,0,0
Streptomyces rochei Berger et al. 1953-01,0,0,0
Methanocaldococcus fervens strain AG86-30,0,0,0
Bacillus anthracis strain CDC 684-30,0,0,0
Staphylococcus aureus subsp. aureus COL-30,0,0,0
Mycoplasma penetrans strain HF-2-08,0,0,0
korarchaeote OPF1-KOR-30,0,0,0
Helicobacter pylori strain G27-30,0,0,0
Borrelia hermsii strain DAH-08,0,0,0
Mycoplasma gallisepticum strain R(low)-01,0,0,0
Escherichia coli strain W3110-01,0,0,0
Coprothermobacter proteolyticus DSM 5265-01,0,0,0
Sulfolobus islandicus strain M.14.25-08,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus strain ATCC 11842-30,0,0,0
Mycobacterium leprae strain Br4923-30,0,0,0
Bifidobacterium lactis AD011-01,0,0,0
Pyrococcus furiosus strain DSM 3638-30,0,0,0
Brachybacterium faecium strain DSM 4810-30,0,0,0
Sulfolobus acidocaldarius NCIB 11770-08,0,0,0
Escherichia coli strain MG1655-08,0,0,0
Helicobacter pylori strain 26695-08,0,0,0
Pyrobaculum islandicum strain DSM 4184-01,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus strain ATCC 11842-08,0,0,0
Lactobacillus sakei subsp. sakei strain 23K-30,0,0,0
Tropheryma whipplei strain Twist-01,0,0,0
Tropheryma whipplei strain Twist-30,0,0,0
Neorickettsia sennetsu str. Miyayama-30,0,0,0
Streptococcus pyogenes str. MGAS315-30,0,0,0
Mycobacterium tuberculosis strain H37Ra-30,0,0,0
Staphylococcus aureus subsp. aureus strain ED98-30,0,0,0
Methanospirillum hungatei strain JF-1-30,0,0,0
Dehalococcoides sp. BAV1-08,0,0,0
Halothermothrix orenii strain H 168-30,0,0,0
Candidatus Blochmannia pennsylvanicus strain BPEN-30,0,0,0
Streptococcus pyogenes strain MGAS10750-01,0,0,0
Pyrobaculum aerophilum strain IM2-01,0,0,0
Dehalococcoides ethenogenes strain 195-08,0,0,0
Streptococcus agalactiae str. A909-01,0,0,0
Streptococcus sanguinis strain SK36-30,0,0,0
Coprothermobacter proteolyticus DSM 5265-30,0,0,0
Staphylococcus epidermis RP62A-30,0,0,0
Leuconostoc mesenteroides subsp. mesenteroides strain ATCC 8293-08,0,0,0
Streptococcus agalactiae str. A909-08,0,0,0
Ignicoccus sp. Kin4-I-08,0,0,0
Mycobacterium tuberculosis strain F11-30,0,0,0
Campylobacter jejuni subsp. doylei strain 269.97-30,0,0,0
Clostridium botulinum A strain ATCC 19397-08,0,0,0
Atopobium parvulum strain DSM 20469-30,0,0,0
Staphylococcus aureus subsp. aureus strain Newman-01,0,0,0
Campylobacter jejuni subsp. jejuni strain NCTC 11168-30,0,0,0
Proteinoruptor kamchatkensis 1221n-08,0,0,0
Campylobacter fetus subsp. fetus strain 82-40-30,0,0,0
Sulfolobus islandicus strain Y.G.57.14-01,0,0,0
Staphylothermus marinus strain F1-01,0,0,0
uncultured Termite group 1 bacterium phylotype Rs-D17-30,0,0,0
Staphylococcus aureus subsp. aureus strain MRSA252-08,0,0,0
Mycobacterium bovis BCG strain Pasteur 1173P2-08,0,0,0
Thermotoga neapolitana NS-E-30,0,0,0
Mycobacterium bovis BCG strain Pasteur 1173P2-30,0,0,0
Sulfolobus islandicus strain M.16.27-01,0,0,0
Streptococcus pneumoniae str. R6-30,0,0,0
Rickettsia peacockii strain Rustic-30,0,0,0
Onion yellows phytoplasma str. 'onion yellows'-08,0,0,0
Streptococcus pyogenes strain NZ131-08,0,0,0
Borrelia recurrentis strain A1-30,0,0,0
Dehalococcoides ethenogenes strain 195-30,0,0,0
Mycobacterium bovis BCG strain Pasteur 1173P2-01,0,0,0
Thermococcus sibiricus strain MM 739-30,0,0,0
Lactobacillus rhamnosus strain Lc 705-30,0,0,0
Thermotoga sp. RKU-1-30,0,0,0
Escherichia coli strain HS-08,0,0,0
Thermoanaerobacter pseudethanolicus strain ATCC 33223-30,0,0,0
Ammonifex degensii strain KC4-30,0,0,0
Thermoanaerobacter italicus strain Ab9-30,0,0,0
Rickettsia africae ESF-5-30,0,0,0
Yersinia pestis biovar Orientalis strain IP275-01,0,0,0
Caldivirga maquilingensis strain IC-167-30,0,0,0
Streptococcus pneumoniae strain Taiwan19F-14-30,0,0,0
Haloferax volcanii strain DS2-08,0,0,0
Helicobacter pylori strain J99-08,0,0,0
Helicobacter pylori strain P12-30,0,0,0
Treponema pallidum subsp. pallidum strain SS14-01,0,0,0
Carsonella-Pv-08,0,0,0
Aeropyrum pernix strain K1-30,0,0,0
Methanocaldococcus sp. FS406-22-30,0,0,0
Ignicoccus sp. Kin4-I-30,0,0,0
Methanopyrus kandleri str. AV19-30,0,0,0
Sulfolobus tokodaii strain 7-08,0,0,0
Streptococcus thermophilus strain CNRZ1066-30,0,0,0
Streptococcus pyogenes strain SF370-08,0,0,0
Campylobacter hominis strain ATCC BAA-381-30,0,0,0
