Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
glycine hydroxymethyltransferase [EC:2.1.2.1]-01,0.03,0.04,0.02
asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]-08,0.04,0.04,0.02
3-isopropylmalate dehydrogenase [EC:1.1.1.85]-30,0.01,0.02,0.02
tryptophanyl-tRNA synthetase [EC:6.1.1.2]-01,0.03,0.04,0.02
HlyD family secretion protein-08,0,0.01,0.02
homogentisate 1;2-dioxygenase [EC:1.13.11.5]-08,0.02,0.02,0.02
porphobilinogen synthase [EC:4.2.1.24]-30,0.01,0.02,0.02
exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]-08,0.02,0.01,0.02
methylisocitrate lyase [EC:4.1.3.30]-08,0.02,0.01,0.02
triosephosphate isomerase (TIM) [EC:5.3.1.1]-08,0.04,0.03,0.02
lycopene beta cyclase [EC:1.14.-.-]-08,0.02,0.03,0.02
dihydroneopterin aldolase [EC:4.1.2.25]-08,0.03,0.02,0.02
putrescine aminotransferase [EC:2.6.1.-]-08,0.02,0.02,0.02
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit A-01,0.04,0.04,0.02
GDPmannose 4;6-dehydratase [EC:4.2.1.47]-30,0.01,0.02,0.02
chloride channel protein; CIC family-08,0.02,0.02,0.02
dimethyladenosine transferase [EC:2.1.1.-]-08,0.04,0.03,0.02
solute:Na+ symporter; SSS family-30,0.01,0.02,0.02
Fur family transcriptional regulator; ferric uptake regulator-08,0.03,0.03,0.02
ribosomal large subunit pseudouridine synthase C [EC:5.4.99.12]-08,0.04,0.03,0.02
electron transport complex protein RnfA-08,0.01,0,0.02
UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]-30,0.01,0.02,0.02
aspartate kinase [EC:2.7.2.4]-01,0.03,0.04,0.02
F-type H+-transporting ATPase subunit delta [EC:3.6.3.14]-08,0.03,0.02,0.02
methionyl-tRNA synthetase [EC:6.1.1.10]-01,0.04,0.04,0.02
ribosomal large subunit pseudouridine synthase B [EC:5.4.99.12]-08,0.02,0.03,0.02
5-aminolevulinate synthase [EC:2.3.1.37]-08,0.01,0.02,0.02
lipopolysaccharide export system permease protein-30,0,0.01,0.02
elongation factor EF-Ts-08,0.05,0.04,0.02
adenosylcobinamide kinase / adenosylcobinamide-phosphate-08,0.01,0.01,0.02
manganese/iron transport system permease protein-08,0.03,0.02,0.02
glutaryl-CoA dehydrogenase [EC:1.3.99.7]-30,0.01,0.01,0.02
putative adenine-specific DNA-methyltransferase [EC:2.1.1.72]-08,0.02,0.01,0.02
Cu(I)/Ag(I) efflux system membrane protein CusA-08,0.02,0.01,0.02
phosphoenolpyruvate carboxylase [EC:4.1.1.31]-01,0.02,0.02,0.02
small subunit ribosomal protein S15-08,0.03,0.02,0.02
exopolyphosphatase [EC:3.6.1.11]-08,0.02,0.02,0.02
octopine/nopaline transport system substrate-binding protein-08,0.01,0.01,0.02
anthranilate phosphoribosyltransferase [EC:2.4.2.18]-30,0,0.01,0.02
2-methylcitrate synthase [EC:2.3.3.5]-08,0.02,0.02,0.02
putative membrane protein-01,0.02,0.01,0.02
carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]-01,0.03,0.03,0.02
lipoic acid synthetase [EC:2.8.1.8]-30,0.01,0.02,0.02
molecular chaperone DnaJ-01,0.03,0.04,0.02
ubiquitin C-08,0.01,0.01,0.02
carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]-08,0.07,0.06,0.02
putative permease-08,0.02,0.01,0.02
chromosomal replication initiator protein-30,0.01,0.01,0.02
aspartate aminotransferase [EC:2.6.1.1]-01,0.04,0.03,0.02
apolipoprotein N-acyltransferase [EC:2.3.1.-]-01,0.03,0.04,0.02
sulfite reductase (ferredoxin) [EC:1.8.7.1]-08,0,0.01,0.02
phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]-01,0.03,0.03,0.02
succinyl-CoA synthetase beta subunit [EC:6.2.1.5]-01,0.03,0.04,0.02
alkaline phosphatase [EC:3.1.3.1]-30,0,0.01,0.02
N utilization substance protein B-08,0.02,0.01,0.02
phosphomannomutase [EC:5.4.2.8]-30,0.01,0.02,0.02
pyruvate kinase [EC:2.7.1.40]-01,0.02,0.02,0.02
tRNA pseudouridine synthase A [EC:5.4.99.12]-08,0.05,0.05,0.02
bifunctional aspartokinase/homoserine dehydrogenase 1 [EC:2.7.2.4-08,0.02,0.01,0.02
glycine C-acetyltransferase [EC:2.3.1.29]-30,0,0.01,0.02
cell division protein FtsA-30,0.01,0.02,0.02
S-adenosylmethionine synthetase [EC:2.5.1.6]-01,0.04,0.04,0.02
molecular chaperone IbpA-08,0.01,0.01,0.02
holliday junction DNA helicase RuvA-08,0.02,0.02,0.02
methylenetetrahydrofolate dehydrogenase (NADP+) /-30,0.01,0.01,0.02
succinyl-CoA synthetase beta subunit [EC:6.2.1.5]-30,0.01,0.02,0.02
dipeptide transport system substrate-binding protein-08,0.01,0,0.02
chemotaxis protein MotB-30,0,0.01,0.02
ubiquinone biosynthesis protein-01,0.04,0.04,0.02
DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]-08,0.02,0.02,0.02
SWI/SNF-related matrix-associated actin-dependent regulator of-30,0.02,0.02,0.02
3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]-01,0.02,0.02,0.02
DNA mismatch repair protein MutS-01,0.02,0.02,0.02
thiamine biosynthesis protein ThiI-08,0.01,0,0.02
antibiotic transport system permease protein-08,0.03,0.03,0.02
methyl-accepting chemotaxis protein-30,0.01,0.02,0.02
glutamate-1-semialdehyde 2;1-aminomutase [EC:5.4.3.8]-01,0.02,0.01,0.02
UDP-2;3-diacylglucosamine hydrolase [EC:3.6.1.-]-08,0.02,0.01,0.02
DNA polymerase III subunit delta' [EC:2.7.7.7]-08,0.04,0.03,0.02
prolyl-tRNA synthetase [EC:6.1.1.15]-01,0.04,0.04,0.02
DNA ligase (ATP) [EC:6.5.1.1]-30,0.01,0.02,0.02
cytochrome c oxidase subunit XV assembly protein-01,0.03,0.03,0.02
peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]-08,0.02,0.02,0.02
methylmalonyl-CoA mutase [EC:5.4.99.2]-01,0.02,0.02,0.02
cell division protein FtsI (penicillin-binding protein 3)-01,0.04,0.04,0.02
peptide chain release factor RF-1-01,0.03,0.04,0.02
deoxyribose-phosphate aldolase [EC:4.1.2.4]-08,0.02,0.02,0.02
flagellar hook-associated protein 1 FlgK-08,0.02,0.03,0.02
5'-nucleotidase [EC:3.1.3.5]-01,0.02,0.01,0.02
transaldolase [EC:2.2.1.2]-08,0.04,0.04,0.02
thioredoxin 1-08,0.03,0.03,0.02
coproporphyrinogen III oxidase [EC:1.3.3.3]-30,0.01,0.02,0.02
small subunit ribosomal protein S12-08,0.03,0.02,0.02
oligopeptidase B [EC:3.4.21.83]-30,0.01,0.02,0.02
phosphotransferase system; enzyme I; PtsP [EC:2.7.3.9]-30,0.01,0.01,0.02
cold shock protein (beta-ribbon; CspA family)-08,0.02,0.02,0.02
ubiquinone biosynthesis protein-30,0.01,0.02,0.02
agmatinase [EC:3.5.3.11]-01,0.04,0.04,0.02
ribonuclease PH [EC:2.7.7.56]-08,0.03,0.03,0.02
iron complex transport system permease protein-08,0.03,0.03,0.02
rod shape-determining protein MreB and related proteins-01,0.03,0.04,0.02
4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]-30,0,0.01,0.02
peroxiredoxin Q/BCP [EC:1.11.1.15]-08,0.02,0.03,0.02
putative tungstate transport system substrate-binding protein-08,0.02,0.01,0.02
putative membrane protein-30,0.01,0.02,0.02
glutathione S-transferase [EC:2.5.1.18]-30,0,0.01,0.02
glycerol kinase [EC:2.7.1.30]-30,0.01,0.02,0.02
cell division protein FtsW-01,0.03,0.03,0.02
phosphate starvation-inducible protein PhoH and related proteins-01,0.03,0.03,0.02
phosphogluconate dehydratase [EC:4.2.1.12]-30,0,0.01,0.02
ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]-08,0.01,0.01,0.02
beta-alanine--pyruvate transaminase [EC:2.6.1.18]-30,0,0.01,0.02
tripeptide aminopeptidase [EC:3.4.11.4]-08,0.02,0.01,0.02
enolase [EC:4.2.1.11]-08,0.07,0.07,0.02
small subunit ribosomal protein S5-08,0.03,0.03,0.02
S-adenosyl-methyltransferase [EC:2.1.1.-]-08,0.04,0.04,0.02
O-sialoglycoprotein endopeptidase [EC:3.4.24.57]-01,0.03,0.04,0.02
heat shock 70kDa protein 1/8-08,0.01,0.02,0.02
two-component system; OmpR family; phosphate regulon response-08,0.02,0.03,0.02
peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]-30,0.01,0.02,0.02
glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]-30,0,0.01,0.02
succinate dehydrogenase iron-sulfur protein [EC:1.3.99.1]-30,0,0.01,0.02
NADH dehydrogenase I subunit 2 [EC:1.6.5.3]-08,0,0.01,0.02
antibiotic transport system permease protein-30,0,0.01,0.02
mannonate dehydratase [EC:4.2.1.8]-08,0.02,0.01,0.02
Na+:H+ antiporter; NhaC family-08,0.02,0.01,0.02
putative ATPase-30,0,0.01,0.02
TatD DNase family protein [EC:3.1.21.-]-30,0.01,0.02,0.02
biopolymer transport protein ExbD-08,0.03,0.02,0.02
trk system potassium uptake protein TrkH-01,0.04,0.04,0.02
2-octaprenyl-3-methyl-6-methoxy-1;4-benzoquinol hydroxylase-08,0.01,0,0.02
DNA topoisomerase III [EC:5.99.1.2]-08,0.02,0.02,0.02
large subunit ribosomal protein L19-08,0.03,0.02,0.02
cell division protein FtsZ-01,0.04,0.04,0.02
type IV pilus assembly protein PilC-08,0.01,0.01,0.02
UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]-01,0.03,0.04,0.02
anthranilate synthase component I [EC:4.1.3.27]-30,0.01,0.02,0.02
oxygen-independent coproporphyrinogen III oxidase [EC:1.3.99.22]-08,0.05,0.05,0.02
CarD family transcriptional regulator-08,0.01,0.02,0.02
cobaltochelatase CobS [EC:6.6.1.2]-01,0.02,0.03,0.02
F-type H+-transporting ATPase subunit a [EC:3.6.3.14]-30,0.01,0.02,0.02
putative lipoprotein-08,0.03,0.03,0.02
glycolate oxidase FAD binding subunit-08,0.02,0.01,0.02
stringent starvation protein A-08,0.02,0.01,0.02
peptidyl-dipeptidase Dcp [EC:3.4.15.5]-30,0,0.01,0.02
glycine betaine/proline transport system ATP-binding protein-01,0.03,0.04,0.02
sarcosine oxidase; subunit delta [EC:1.5.3.1]-08,0.02,0.02,0.02
NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]-01,0.03,0.04,0.02
glutathione peroxidase [EC:1.11.1.9]-08,0.03,0.02,0.02
thiol:disulfide interchange protein DsbC [EC:5.3.4.1]-08,0.01,0.01,0.02
hydroxymethylbilane synthase [EC:2.5.1.61]-30,0.01,0.02,0.02
aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]-01,0.03,0.03,0.02
PhoH-like ATPase-08,0,0.01,0.02
molybdopterin biosynthesis protein MoeB-08,0.01,0.01,0.02
repressor LexA [EC:3.4.21.88]-08,0.03,0.02,0.02
ubiquitin C-30,0.01,0.01,0.02
small subunit ribosomal protein S16-08,0.03,0.02,0.02
trk system potassium uptake protein TrkA-01,0.03,0.03,0.02
fructose-bisphosphate aldolase; class I [EC:4.1.2.13]-30,0.01,0.02,0.02
ribosomal RNA small subunit methyltransferase E [EC:2.1.1.-]-08,0.04,0.03,0.02
mannose-1-phosphate guanylyltransferase [EC:2.7.7.22]-08,0.02,0.01,0.02
3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-]-08,0.02,0.02,0.02
aminotransferase [EC:2.6.1.-]-30,0.01,0.01,0.02
dUTP pyrophosphatase [EC:3.6.1.23]-08,0.02,0.02,0.02
ribulose-phosphate 3-epimerase [EC:5.1.3.1]-30,0.01,0.02,0.02
molecular chaperone GrpE-08,0.04,0.03,0.02
3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]-01,0.02,0.03,0.02
tRNA pseudouridine synthase A [EC:5.4.99.12]-30,0,0.01,0.02
tRNA-(ms[2]io[6]A)-hydroxylase [EC:1.-.-.-]-08,0.02,0.01,0.02
bilin biosynthesis protein-08,0,0.01,0.02
putative ATPase-01,0.01,0.01,0.02
two-component system; OmpR family; phosphate regulon sensor-08,0.02,0.02,0.02
mandelate racemase [EC:5.1.2.2]-08,0.01,0.02,0.02
pyruvate; water dikinase [EC:2.7.9.2]-01,0.01,0,0.02
L-serine dehydratase [EC:4.3.1.17]-01,0.01,0,0.02
putative hydrolase of the HAD superfamily-08,0.03,0.04,0.02
LysR family transcriptional regulator; regulator for metE and metH-08,0.01,0.01,0.02
transposase-08,0.01,0.01,0.02
ATP-binding cassette; subfamily B; bacterial MsbA [EC:3.6.3.-]-30,0.01,0.01,0.02
putative thioredoxin-08,0.01,0.01,0.02
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase-08,0.03,0.03,0.02
fatty-acyl-CoA synthase [EC:6.2.1.-]-30,0.01,0.02,0.02
DNA repair protein RadA/Sms-30,0.01,0.01,0.02
3-hydroxy-3-methylglutaryl-CoA reductase [EC:1.1.1.34]-08,0.01,0,0.02
DNA topoisomerase III [EC:5.99.1.2]-30,0.01,0.02,0.02
5-deoxy-glucuronate isomerase [EC:5.3.1.-]-08,0.02,0.01,0.02
ferredoxin--NADP+ reductase [EC:1.18.1.2]-08,0.04,0.04,0.02
electron transport complex protein RnfG-08,0.01,0,0.02
UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]-08,0.02,0.02,0.02
purine-nucleoside phosphorylase [EC:2.4.2.1]-08,0.02,0.02,0.02
two-component system; OmpR family; phosphate regulon response-30,0,0.01,0.02
trk system potassium uptake protein TrkA-30,0.01,0.02,0.02
ATP-dependent RNA helicase DeaD-01,0.01,0.01,0.02
phosphoglucosamine mutase [EC:5.4.2.10]-30,0.01,0.01,0.02
UDP-glucose 4-epimerase [EC:5.1.3.2]-08,0.04,0.04,0.02
multidrug resistance protein; MATE family-01,0.02,0.01,0.02
UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]-01,0.03,0.03,0.02
GDP-L-fucose synthase [EC:1.1.1.271]-08,0.03,0.02,0.02
small subunit ribosomal protein S6-08,0.02,0.01,0.02
nitrite reductase (NAD(P)H) large subunit [EC:1.7.1.4]-30,0,0.01,0.02
phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]-01,0.03,0.03,0.02
N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]-30,0.01,0.01,0.02
endonuclease III [EC:4.2.99.18]-08,0.04,0.04,0.02
preprotein translocase subunit SecB-08,0.02,0.02,0.02
molybdopterin oxidoreductase; membrane subunit [EC:1.2.7.-]-08,0.01,0.01,0.02
putative protease [EC:3.4.-.-]-30,0,0.01,0.02
simple sugar transport system substrate-binding protein-08,0.03,0.03,0.02
seryl-tRNA synthetase [EC:6.1.1.11]-30,0.01,0.02,0.02
GDPmannose 4;6-dehydratase [EC:4.2.1.47]-01,0.03,0.03,0.02
phosphopantothenoylcysteine decarboxylase /-30,0.01,0.02,0.02
methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]-08,0.02,0.01,0.02
membrane protease subunit HflC [EC:3.4.-.-]-30,0,0.01,0.02
xanthine dehydrogenase accessory factor-08,0.02,0.02,0.02
glutathione reductase (NADPH) [EC:1.8.1.7]-08,0.04,0.04,0.02
membrane-bound lytic murein transglycosylase B [EC:3.2.1.-]-08,0.02,0.01,0.02
F-type H+-transporting ATPase subunit b [EC:3.6.3.14]-08,0.04,0.04,0.02
DNA polymerase III subunit epsilon [EC:2.7.7.7]-01,0.03,0.02,0.02
LPS-assembly protein-30,0,0.01,0.02
5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]-01,0.01,0,0.02
IMP dehydrogenase [EC:1.1.1.205]-01,0.04,0.04,0.02
heme exporter protein C-01,0.02,0.02,0.02
two-component system; chemotaxis family; sensor kinase CheA-30,0.01,0.01,0.02
ribosomal large subunit pseudouridine synthase D [EC:5.4.99.12]-01,0.03,0.03,0.02
MFS transporter; PPP family; 3-phenylpropionic acid transporter-08,0.01,0,0.02
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase-30,0,0.01,0.02
porphobilinogen synthase [EC:4.2.1.24]-01,0.03,0.03,0.02
septum formation protein-08,0.03,0.03,0.02
bifunctional enzyme involved in thiolation and methylation of tRNA-01,0.03,0.04,0.02
histidine ammonia-lyase [EC:4.3.1.3]-01,0.01,0,0.02
penicillin amidase [EC:3.5.1.11]-08,0.02,0.02,0.02
multiple sugar transport system ATP-binding protein-08,0.03,0.03,0.02
inosose dehydratase [EC:4.2.1.44]-08,0.02,0.01,0.02
ribokinase [EC:2.7.1.15]-08,0.02,0.02,0.02
pyruvate kinase [EC:2.7.1.40]-30,0.01,0.02,0.02
3-isopropylmalate dehydrogenase [EC:1.1.1.85]-01,0.03,0.04,0.02
DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]-01,0.03,0.03,0.02
rod shape-determining protein MreC-08,0.04,0.03,0.02
cobalamin biosynthesis protein CbiD-08,0.02,0.01,0.02
carbamoyltransferase [EC:2.1.3.-]-01,0.03,0.03,0.02
ATP-dependent HslUV protease ATP-binding subunit HslU-30,0.01,0.02,0.02
FKBP12-rapamycin complex-associated protein-30,0.01,0.01,0.02
molybdopterin biosynthesis protein MoeA-30,0.01,0.01,0.02
alanine dehydrogenase [EC:1.4.1.1]-01,0.03,0.03,0.02
D-xylose transport system substrate-binding protein-08,0.01,0.01,0.02
ATP-dependent DNA helicase RecQ [EC:3.6.1.-]-01,0.02,0.01,0.02
DNA mismatch repair protein MutL-30,0.01,0.01,0.02
leucyl/phenylalanyl-tRNA--protein transferase [EC:2.3.2.6]-08,0.02,0.01,0.02
Cu(I)/Ag(I) efflux system membrane protein CusA-30,0,0.01,0.02
flagellar P-ring protein precursor FlgI-08,0.03,0.02,0.02
sigma-54 specific transcriptional regulator; flagellar regulatory-08,0.02,0.01,0.02
sec-independent protein translocase protein TatB-30,0.01,0.01,0.02
phosphatidylglycerophosphatase A [EC:3.1.3.27]-08,0.02,0.01,0.02
acetyl-CoA carboxylase carboxyl transferase subunit beta-30,0,0.01,0.02
large subunit ribosomal protein L2-30,0.02,0.02,0.02
Na+:H+ antiporter; NhaA family-08,0.01,0.02,0.02
cytosine deaminase [EC:3.5.4.1]-08,0.02,0.01,0.02
phage shock protein A-08,0,0.01,0.02
Fe/S biogenesis protein NfuA-08,0.01,0.01,0.02
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]-08,0,0.01,0.02
transaldolase [EC:2.2.1.2]-30,0,0.01,0.02
asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]-01,0.03,0.03,0.02
phosphoethanolamine transferase-08,0.01,0.01,0.02
dephospho-CoA kinase [EC:2.7.1.24]-08,0.02,0.02,0.02
two-component system; chemotaxis family; response regulator CheB-30,0,0.01,0.02
alpha-galactosidase [EC:3.2.1.22]-08,0.02,0.01,0.02
D-xylose transport system permease protein-08,0.01,0.01,0.02
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit B-01,0.04,0.04,0.02
adenylylsulfate reductase; subunit A [EC:1.8.99.2]-01,0.03,0.03,0.02
uroporphyrinogen decarboxylase [EC:4.1.1.37]-01,0.03,0.03,0.02
cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]-01,0.02,0.03,0.02
X-Pro dipeptidase [EC:3.4.13.9]-30,0,0.01,0.02
Bax protein-08,0.01,0,0.02
putative flavoprotein involved in K+ transport-08,0.02,0.01,0.02
DnaK suppressor protein-08,0.03,0.02,0.02
ATP-dependent HslUV protease ATP-binding subunit HslU-01,0.03,0.03,0.02
formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]-08,0.04,0.04,0.02
UDP-N-acetylmuramoylalanyl-D-glutamate--2;6-diaminopimelate ligase-30,0.01,0.01,0.02
S-adenosyl-methyltransferase [EC:2.1.1.-]-30,0.01,0.01,0.02
electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]-01,0.03,0.04,0.02
chalcone synthase [EC:2.3.1.74]-08,0.02,0.01,0.02
lipoprotein-08,0.03,0.02,0.02
undecaprenyl-diphosphatase [EC:3.6.1.27]-08,0.04,0.04,0.02
RNA methyltransferase; TrmH family; group 2 [EC:2.1.1.-]-08,0.02,0.02,0.02
molecular chaperone HtpG-01,0.02,0.02,0.02
proton-dependent oligopeptide transporter; POT family-08,0.03,0.02,0.02
thioredoxin 1-30,0,0.01,0.02
ATP-dependent DNA helicase DinG [EC:3.6.1.-]-30,0,0.01,0.02
large subunit ribosomal protein L25-08,0.04,0.03,0.02
DNA-directed RNA polymerase II subunit B [EC:2.7.7.6]-30,0.01,0.01,0.02
glycerol kinase [EC:2.7.1.30]-01,0.02,0.02,0.02
iron(III) transport system substrate-binding protein-30,0.01,0.01,0.02
histidinol-phosphate aminotransferase [EC:2.6.1.9]-30,0.01,0.02,0.02
malate dehydrogenase (quinone) [EC:1.1.5.4]-08,0.01,0.01,0.02
nitrogen regulatory protein P-II 2-08,0.02,0.01,0.02
DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37]-01,0.02,0.01,0.02
ribosomal RNA large subunit methyltransferase N [EC:2.1.1.-]-30,0.01,0.02,0.02
glycine betaine/proline transport system substrate-binding protein-30,0.01,0.01,0.02
large subunit ribosomal protein L16-08,0.03,0.02,0.02
RNA polymerase sigma-32 factor-30,0,0.01,0.02
starch phosphorylase [EC:2.4.1.1]-30,0,0.01,0.02
2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)-08,0.05,0.04,0.02
DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]-30,0.01,0.02,0.02
pyruvate dehydrogenase E2 component (dihydrolipoamide-01,0.03,0.03,0.02
6-phosphogluconolactonase [EC:3.1.1.31]-08,0.02,0.01,0.02
enolase [EC:4.2.1.11]-01,0.04,0.04,0.02
S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase-30,0.01,0.01,0.02
butyryl-CoA dehydrogenase [EC:1.3.99.2]-08,0.02,0.01,0.02
flagellar biosynthesis protein FlhG-08,0.02,0.01,0.02
uridine kinase [EC:2.7.1.48]-08,0.01,0.01,0.02
single-stranded-DNA-specific exonuclease [EC:3.1.-.-]-01,0.04,0.04,0.02
selenide; water dikinase [EC:2.7.9.3]-08,0.04,0.03,0.02
flavodoxin II-08,0.01,0,0.02
tRNA (guanine-N2-)-methyltransferase [EC:2.1.1.32]-08,0,0.01,0.02
membrane protease subunit HflK [EC:3.4.-.-]-30,0.01,0.01,0.02
peptidyl-dipeptidase A [EC:3.4.15.1]-08,0.01,0.01,0.02
5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]-08,0.04,0.03,0.02
D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]-08,0.02,0.01,0.02
lipoate-protein ligase A [EC:2.7.7.63]-08,0.01,0,0.02
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit B-30,0.01,0.01,0.02
phosphatidylglycerol:prolipoprotein diacylglycerol transferase-08,0.03,0.03,0.02
DNA repair protein RecN (Recombination protein N)-30,0.01,0.02,0.02
methionyl aminopeptidase [EC:3.4.11.18]-30,0.01,0.02,0.02
rod shape determining protein RodA-01,0.03,0.03,0.02
TolB protein-30,0,0.01,0.02
sarcosine oxidase; subunit beta [EC:1.5.3.1]-01,0.04,0.04,0.02
carbonic anhydrase [EC:4.2.1.1]-08,0.03,0.02,0.02
membrane protein required for colicin V production-08,0.02,0.01,0.02
riboflavin synthase beta chain [EC:2.5.1.-]-08,0.03,0.02,0.02
argininosuccinate lyase [EC:4.3.2.1]-01,0.04,0.04,0.02
glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]-08,0.01,0.01,0.02
dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]-08,0.02,0.02,0.02
chlorophyll synthase [EC:2.5.1.62]-08,0,0.01,0.02
excinuclease ABC subunit C-30,0.01,0.02,0.02
homoserine O-succinyltransferase [EC:2.3.1.46]-08,0.02,0.02,0.02
elongation factor EF-3-08,0.01,0.01,0.02
two-component system; NtrC family; nitrogen regulation sensor-01,0.03,0.03,0.02
two-component system; NtrC family; nitrogen regulation sensor-30,0,0.01,0.02
sorbitol/mannitol transport system substrate-binding protein-08,0.02,0.01,0.02
indole-3-glycerol phosphate synthase [EC:4.1.1.48]-08,0.03,0.03,0.02
orotate phosphoribosyltransferase [EC:2.4.2.10]-30,0,0.01,0.02
N-acetylneuraminate synthase [EC:2.5.1.56]-30,0,0.01,0.02
enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9]-30,0.01,0.01,0.02
2;4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]-30,0,0.01,0.02
multidrug resistance protein; MATE family-30,0.01,0.01,0.02
chaperonin GroES-08,0.03,0.03,0.02
flagellar motor switch protein FliM-08,0.01,0.01,0.02
peptidyl-tRNA hydrolase; PTH1 family [EC:3.1.1.29]-08,0.04,0.03,0.02
magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase-08,0,0.01,0.02
uracil phosphoribosyltransferase [EC:2.4.2.9]-08,0.02,0.01,0.02
homoserine dehydrogenase [EC:1.1.1.3]-30,0.01,0.01,0.02
3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)-08,0.03,0.03,0.02
UDP-glucose 4-epimerase [EC:5.1.3.2]-30,0.01,0.02,0.02
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase-01,0.03,0.03,0.02
SWI/SNF-related matrix-associated actin-dependent regulator of-08,0.01,0.01,0.02
arylsulfatase A [EC:3.1.6.8]-08,0,0.01,0.02
phosphate starvation-inducible protein PhoH and related proteins-30,0.01,0.01,0.02
